,model,img_path,target,model_answ,question,is_num
37,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
38,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,10,How much do you think that the image is related to a CAT?,1
39,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
40,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
41,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
42,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
43,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
44,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,95,How much do you think that the image is related to a CAT?,1
45,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
46,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
47,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
48,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
49,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,40,How much do you think that the image is related to a CAT?,1
50,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
51,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
52,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
53,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
54,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
55,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,35,How much do you think that the image is related to a CAT?,1
56,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
57,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
58,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
59,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_102\cat_and_dog_102_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
60,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
61,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
62,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,20,How much do you think that the image is related to a CAT?,1
63,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
64,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
65,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
66,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
67,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
68,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
69,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
70,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
71,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_103\cat_and_dog_103_bone.jpg,CAT AND DOG,90,How much do you think that the image is related to a CAT?,1
72,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
73,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
74,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
75,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
76,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
77,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
78,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
79,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
80,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
81,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
82,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
83,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_104\cat_and_dog_104_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
84,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
85,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
86,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
87,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
88,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
89,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
90,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
91,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
92,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,25,How much do you think that the image is related to a CAT?,1
93,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,10,How much do you think that the image is related to a CAT?,1
94,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
95,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_105\cat_and_dog_105_bone.jpg,CAT AND DOG,40,How much do you think that the image is related to a CAT?,1
96,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,90,How much do you think that the image is related to a CAT?,1
97,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
98,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,10,How much do you think that the image is related to a CAT?,1
99,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
100,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
101,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
102,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
103,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,90,How much do you think that the image is related to a CAT?,1
104,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
105,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,85,How much do you think that the image is related to a CAT?,1
106,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
107,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_106\cat_and_dog_106_bone.jpg,CAT AND DOG,90,How much do you think that the image is related to a CAT?,1
108,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
109,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
110,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
111,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
112,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
113,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
114,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
115,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
116,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
117,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
118,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,20,How much do you think that the image is related to a CAT?,1
119,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_107\cat_and_dog_107_bone.jpg,CAT AND DOG,40,How much do you think that the image is related to a CAT?,1
120,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
121,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
122,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
123,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
124,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
125,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
126,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
127,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
128,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
129,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
130,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
131,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_108\cat_and_dog_108_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
132,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_109\cat_and_dog_109_bone.jpg,CAT AND DOG,90,How much do you think that the image is related to a CAT?,1
