,model,img_path,target,model_answ,question,is_num,attr_num
17,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
18,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
19,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,10
20,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
22,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
23,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,10
36,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
37,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
38,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
39,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
40,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,11
41,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
42,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
43,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,11
44,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
45,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
46,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,11
47,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_11.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,11
48,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
49,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
50,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
51,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
52,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,12
53,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
54,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
55,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,12
56,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
58,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,12
59,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_12.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,12
60,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,13
61,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
62,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
63,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
64,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,13
65,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
66,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
67,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,13
68,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
70,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,13
71,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_13.jpg,CAT,30,How much do you think that the image is related to a CAT?,1,13
72,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
73,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
74,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
75,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
76,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
77,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
78,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
79,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,14
81,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
82,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,14
83,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_14.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,14
84,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
85,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
86,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
87,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
88,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
89,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
90,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
91,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
92,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
93,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
94,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
95,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_15.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,15
96,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
97,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
98,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
99,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
100,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,16
101,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
102,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
103,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,16
104,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
105,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
106,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,16
107,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_16.jpg,CAT,60,How much do you think that the image is related to a CAT?,1,16
108,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,17
109,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
110,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
111,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
112,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
113,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
114,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
115,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,17
117,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
118,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,17
119,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_17.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,17
120,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
121,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
122,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
123,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
124,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
125,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
126,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
127,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,18
128,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
129,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
130,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,18
131,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_18.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,18
132,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,19
133,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
134,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
135,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
136,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,19
137,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
138,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
139,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,19
140,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
141,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
142,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,19
143,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_19.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,19
144,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
145,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
146,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
147,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
148,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
149,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
150,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
151,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,2
152,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
153,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
154,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,2
155,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_2.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,2
156,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,20
157,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
158,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
159,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
160,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,5,How much do you think that the image is related to a CAT?,1,20
161,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
162,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
163,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,20
164,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
165,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
166,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,20
167,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_20.jpg,CAT,60,How much do you think that the image is related to a CAT?,1,20
168,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
169,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
170,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
171,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
172,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,21
173,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
174,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
175,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,21
177,gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
178,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,21
179,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_21.jpg,CAT,60,How much do you think that the image is related to a CAT?,1,21
180,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
181,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
182,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
183,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
184,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
185,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
186,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
187,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,22
188,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
190,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,22
191,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_22.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,22
192,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_23.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,23
193,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_23.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,23
194,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_23.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,23
